Links	Freq
0	0
1	704276
2	9781
3	26542
4	17161
5	13982
6	18253
7	34924
8	31525
9	24094
10	20091
11	18665
12	27168
13	51510
14	95314
15	117196
16	211284
17	161184
18	116318
19	98643
20	69654
21	46514
22	31763
23	25803
24	21414
25	19322
26	18055
27	17560
28	16891
29	16264
30	15493
31	14333
32	13334
33	12615
34	12349
35	10933
36	9976
37	9290
38	8845
39	8397
40	7998
41	7745
42	7206
43	6871
44	6449
45	6188
46	6079
47	5799
48	5654
49	5366
50	5203
51	5043
52	4837
53	4760
54	4584
55	4624
56	4373
57	4148
58	4293
59	3989
60	3806
61	3720
62	3760
63	3649
64	3635
65	3548
66	3441
67	3451
68	3283
69	3265
70	3121
71	3175
72	2930
73	2979
74	2805
75	2639
76	2789
77	2690
78	2591
79	2551
80	2504
81	2484
82	2395
83	2433
84	2406
85	2272
86	2186
87	2180
88	2158
89	2123
90	2100
91	2030
92	2040
93	1999
94	1990
95	1942
96	1910
97	1885
98	1899
99	1871
100	1798
101	1732
102	1683
103	1738
104	1627
105	1679
106	1579
107	1678
108	1691
109	1660
110	1712
111	1664
112	1578
113	1621
114	1597
115	1470
116	1498
117	1393
118	1473
119	1423
120	1477
121	1423
122	1450
123	1370
124	1339
125	1290
126	1310
127	1317
128	1363
129	1323
130	1272
131	1240
132	1228
133	1164
134	1227
135	1236
136	1176
137	1172
138	1156
139	1109
140	1066
141	1052
142	1101
143	1046
144	1066
145	1093
146	1092
147	1040
148	963
149	933
150	948
151	927
152	922
153	885
154	899
155	852
156	781
157	794
158	803
159	776
160	821
161	861
162	730
163	810
164	760
165	759
166	806
167	906
168	843
169	868
170	825
171	920
172	871
173	757
174	765
175	767
176	723
177	713
178	713
179	793
180	782
181	732
182	755
183	754
184	764
185	799
186	728
187	733
188	789
189	756
190	749
191	734
192	699
193	681
194	653
195	670
196	607
197	659
198	653
199	623
200	611
201	681
202	609
203	530
204	554
205	575
206	558
207	589
208	653
209	643
210	644
211	579
212	607
213	597
214	562
215	557
216	613
217	596
218	593
219	592
220	568
221	489
222	476
223	486
224	501
225	563
226	624
227	479
228	482
229	480
230	517
231	544
232	554
233	547
234	521
235	502
236	451
237	444
238	499
239	484
240	508
241	527
242	560
243	468
244	426
245	368
246	463
247	452
248	440
249	464
250	578
251	530
252	524
253	528
254	429
255	414
256	390
257	395
258	352
259	357
260	342
261	327
262	359
263	396
264	349
265	315
266	305
267	287
268	342
269	341
270	330
271	312
272	323
273	330
274	319
275	323
276	325
277	320
278	283
279	250
280	329
281	320
282	286
283	291
284	294
285	307
286	264
287	249
288	290
289	323
290	316
291	343
292	354
293	347
294	319
295	292
296	278
297	287
298	291
299	319
300	303
301	254
302	232
303	256
304	243
305	238
306	209
307	234
308	260
309	211
310	228
311	249
312	228
313	274
314	281
315	261
316	207
317	195
318	238
319	184
320	207
321	242
322	238
323	261
324	192
325	266
326	254
327	212
328	230
329	303
330	241
331	234
332	195
333	224
334	226
335	234
336	206
337	221
338	274
339	192
340	184
341	184
342	190
343	204
344	223
345	197
346	217
347	222
348	227
349	235
350	204
351	188
352	256
353	222
354	224
355	189
356	187
357	235
358	243
359	267
360	211
361	178
362	162
363	178
364	225
365	152
366	187
367	172
368	145
369	145
370	139
371	138
372	132
373	154
374	300
375	154
376	195
377	291
378	195
379	125
380	144
381	142
382	137
383	167
384	188
385	222
386	229
387	141
388	186
389	169
390	158
391	155
392	167
393	162
394	160
395	140
396	155
397	122
398	134
399	199
400	212
401	178
402	146
403	145
404	139
405	145
406	218
407	160
408	216
409	148
410	192
411	188
412	262
413	309
414	303
415	296
416	403
417	433
418	386
419	431
420	418
421	433
422	421
423	311
424	305
425	277
426	282
427	301
428	332
429	372
430	428
431	377
432	356
433	352
434	325
435	302
436	382
437	337
438	370
439	278
440	297
441	259
442	199
443	179
444	231
445	200
446	210
447	387
448	189
449	279
450	207
