iteration	total length	average length	amount of no solution found	amount of timeouts
0	605	6.05	41	0
1	646	6.46	49	0
2	627	6.27	67	0
3	633	6.33	44	0
4	636	6.36	55	0
5	629	6.29	49	1
6	635	6.35	45	0
7	611	6.11	32	1
8	652	6.52	47	0
9	634	6.34	57	1
10	634	6.34	34	0
11	654	6.54	53	0
12	646	6.46	65	1
13	624	6.24	44	1
14	637	6.37	48	2
15	640	6.4	43	0
16	633	6.33	34	1
17	650	6.5	48	0
18	651	6.51	50	0
19	663	6.63	56	0
20	649	6.49	52	0
21	633	6.33	63	2
22	630	6.3	47	1
23	638	6.38	59	1
24	637	6.37	41	0
25	652	6.52	45	0
26	647	6.47	49	2
27	643	6.43	56	1
28	646	6.46	56	0
29	646	6.46	37	1
30	660	6.6	39	1
