iteration	total length	average length	amount of no solution found	amount of timeouts
0	617	6.17	66	0
1	631	6.31	66	0
2	632	6.32	66	0
3	636	6.36	66	0
4	633	6.33	66	1
5	638	6.38	66	1
6	638	6.38	66	1
7	638	6.38	66	1
8	640	6.4	66	1
9	641	6.41	66	1
10	643	6.43	66	1
11	643	6.43	66	1
12	644	6.44	66	1
13	646	6.46	66	1
14	647	6.47	66	1
15	647	6.47	66	1
16	648	6.48	66	1
17	649	6.49	66	1
18	649	6.49	66	1
19	653	6.53	66	1
20	655	6.55	66	1
21	655	6.55	66	1
22	655	6.55	66	1
23	655	6.55	66	1
24	655	6.55	66	1
25	658	6.58	66	1
26	658	6.58	66	1
27	657	6.57	66	1
28	657	6.57	66	1
29	657	6.57	66	1
30	657	6.57	66	1
